/details/752967261efd656c8f420-98439538,"1-комн. кв., 45 м2, 2 этаж из 9",$ 32 000,"OЧЕНЬ СРОЧНО ПРОДАЮ
1ком.квартиру в 43 м2.
Микрорайон Кок-Жар, 38

105 серии, не угловая 2/9 эт.
Состояние отличное.
Остаётся всё!
0709622667...",https://cdn.house.kg/house/images/8/4/c/84cc70ed93b3272db2db9bf326350396_240x180.jpg
/details/657355661e8e9a79534c1-44750908,"3-комн. кв., 144 м2, 12 этаж из 13",$ 105 000,срочно продаю в самом центре 3х комнатную квартиру ПСО. Общая площадь 144м2. 12этаж из 13. Золотой квадрат. Тех паспорт на руках. 730$ за м2. Очень ср...,https://cdn.house.kg/house/images/9/2/9/929a88b7ab16cb471f7a8f63b165facd_240x180.jpg
/details/487145161dbbc227a0de3-37958751,"Дом, 6 и более комнат, 400 м2",$ 57 000,"Срочно! Торг возможен! 
с. Прохладное , вверх по Алма-Атинской. 
Участок 15 сот. Красная книга! 
Отлично под гостевой/ дом отдыха!...",https://cdn.house.kg/house/images/8/a/6/8a63ec0a58186ccb46e4e0c2da0422e6_240x180.jpg
/details/84561236121150b487814-63564877,"3-комн. кв., 80 м2, 13 этаж из 14",$ 85 000,"-Новый дом
-Свежий ремонт
-Центральное отопление
-Центральное газоснабжение
-2 спальни
-Туалет и ванная отдельно
-Кухня с гостиной студия
-Клад...",https://cdn.house.kg/house/images/e/f/9/ef997c1215b7af230c09a04e4769db4b_240x180.jpg
/details/678575761eba9d96e97c7-20514723,"1-комн. кв., 48 м2, 6 этаж из 10",$ 42 000,"Срочно Продаю 1к квартиру!
🟢 Площадь 48м2
🟢 Застройщик НБК
🟢 Квартира после ремонта
🟢 Коммуникации все центральные 
🟢 Адрес средний Джал
🟢 Дом кирпичн...",https://cdn.house.kg/house/images/6/d/6/6d6cb7d37f00a2ce640d25439d527239_240x180.jpg
/details/292853261ead5bf1f0304-62585411,"1-комн. кв., 44 м2, 13 этаж из 14",$ 29 350,"продается шикарная  1-комнатная квартира в элитном доме премиум класса ЖК DELUXE от компании ИХЛАС.
дом 14 этажный. Весь фасад выполнен из натуральног...",https://cdn.house.kg/house/images/e/5/3/e53b546f888cfe64b3d2b63eb245b405_240x180.jpg
/details/672507961a4ba54247322-07666785,"Коммерческая недвижимость, 3000 м2",$ 840 000,"Продаю строящееся здание в центре г. Чолпон-Ата. Назначение - гостиничный комплекс. Площадью 3000 кв.м. Участок - 40 соток. Центральная канализация, в...",https://cdn.house.kg/house/images/f/b/4/fb4f791733a265faafa957958c2b8705_240x180.jpg
/details/99344561cd796aeab012-91628533,"3-комн. кв., 104.7 м2, 2 этаж из 10",$ 42 000,"Продаются ТРИ 3-х комнатные квартиры в ЖК ""АК НИЕТ"" стройкомпании ""КУТ"".
Этажи: 2-й, 7-й и 9-й.
Адрес: Алматинка/Горького
Квадратура: 104.7 м2
Объект ...",https://cdn.house.kg/house/images/6/5/0/6500ee2fd75423f2312ee235c7456ba7_240x180.jpg
/details/47139061e6c69c7cc4c0-61643028,"Дом, 4-комн., 70 м2",$ 78 000,"Продается Дом в районе госрегистра. 
Имеется все условия. 
Дом: 70 кв.м 4 комнаты. 
имеется маленькая хозпостройка.
участок 4 сотых.
Продаем без посре...",https://cdn.house.kg/house/images/e/a/6/ea66f612a10eea201e1908aac761b1c0_240x180.jpg
/details/852042661da9cc4c21805-02850874,"Коммерческая недвижимость, 600 м2",$ 300 000,"Агротуристическая ферма ""Кызыл-Таш"" расположена в живописном месте между деревнями Жаркынбаево и Орукту, на северном побережье озера Иссык-Куль. Это м...",https://cdn.house.kg/house/images/7/4/c/74c1f3d9431a4bf14531374a5e385570_240x180.jpg
